CUST_ID,TARGET,AGE,GENDER,BALANCE,OCCUPATION,AGE_BKT,SCR,HOLDING_PERIOD,ACC_TYPE,ACC_OP_DATE,LEN_OF_RLTN_IN_MNTH,NO_OF_L_CR_TXNS,NO_OF_L_DR_TXNS,TOT_NO_OF_L_TXNS,NO_OF_BR_CSH_WDL_DR_TXNS,NO_OF_ATM_DR_TXNS,NO_OF_NET_DR_TXNS,NO_OF_MOB_DR_TXNS,NO_OF_CHQ_DR_TXNS,FLG_HAS_CC,AMT_ATM_DR,AMT_BR_CSH_WDL_DR,AMT_CHQ_DR,AMT_NET_DR,AMT_MOB_DR,AMT_L_DR,FLG_HAS_ANY_CHGS,AMT_OTH_BK_ATM_USG_CHGS,AMT_MIN_BAL_NMC_CHGS,NO_OF_IW_CHQ_BNC_TXNS,NO_OF_OW_CHQ_BNC_TXNS,AVG_AMT_PER_ATM_TXN,AVG_AMT_PER_CSH_WDL_TXN,AVG_AMT_PER_CHQ_TXN,AVG_AMT_PER_NET_TXN,AVG_AMT_PER_MOB_TXN,FLG_HAS_NOMINEE,FLG_HAS_OLD_LOAN,random,split
C7893,0,51,M,43917.05,SAL,>50,592,30,CA,10-03-2011,68,51,2,53,1,0,1,0,0,0,0,465750,0,373865.0,0,839615.0,0,0,0,0,0,0.0,465750.0,0.0,373865.0,0.0,1,0,0.001602399,-0.5736504867937356
C2029,0,54,M,3456.03,SAL,>50,483,10,SA,1/26/2010,88,13,7,20,3,1,1,0,2,0,3100,133190,19190,842341.0,0,997821.0,0,0,0,0,0,3100.0,44396.67,9595.0,842341.0,0.0,1,1,0.001620615,-3.354317320079983
C19294,0,49,M,5670.82,PROF,46-50,178,5,SA,06-09-2009,96,2,2,4,0,0,0,0,2,0,0,0,31480,0.0,0,31480.0,0,0,0,0,0,0.0,0.0,15740.0,0.0,0.0,1,0,0.00165164,-0.7760273645783857
C2233,0,55,M,295709.23,SAL,>50,290,18,SA,1/19/2006,136,6,5,11,1,1,1,0,2,0,17900,774010,81670,340755.0,0,1214335.0,0,0,0,1,0,17900.0,774010.0,40835.0,340755.0,0.0,1,0,0.0017576760000000001,-0.08154795716112749
C11633,0,54,M,117148.71,SENP,>50,215,25,SA,8/23/2007,117,12,3,15,0,1,1,1,0,0,8500,0,0,500020.0,65889,574409.0,0,0,0,0,0,8500.0,0.0,0.0,500020.0,65889.0,1,1,0.001796447,-0.4883453855519083
C16418,1,53,M,34474.55,SELF-EMP,>50,809,1,SA,11-05-2012,55,8,6,14,2,1,1,0,2,1,4700,756420,41810,840291.0,0,1643221.0,0,0,0,0,0,4700.0,378210.0,20905.0,840291.0,0.0,1,0,0.001885036,-1.8957047595483516
C8855,0,22,F,658891.83,PROF,<25,513,16,CA,06-09-2002,180,6,6,12,2,1,1,0,2,0,19400,90780,17000,647549.0,0,774729.0,0,0,0,1,0,19400.0,45390.0,8500.0,647549.0,0.0,1,0,0.0018894920000000002,-0.7753564118387567
C8239,0,21,M,991845.61,PROF,<25,194,21,SA,10-06-1999,212,2,4,6,2,0,1,1,0,0,0,728020,0,702871.0,69321,1500212.0,0,0,0,0,0,0.0,364010.0,0.0,702871.0,69321.0,0,1,0.001926288,0.7380606879877056
C1113,0,25,M,880516.16,PROF,<25,609,23,SA,01-06-1999,221,2,3,5,1,0,2,0,0,1,0,413070,0,928219.0,0,1341289.0,0,0,0,0,0,0.0,413070.0,0.0,464109.5,0.0,1,0,0.001976228,-0.8715885104292538
C1979,0,41,F,285794.82,SAL,41-45,106,21,SA,1/16/2002,185,14,3,17,2,0,0,0,1,0,0,834530,74540,0.0,0,909070.0,0,0,0,0,0,0.0,417265.0,74540.0,0.0,0.0,1,1,0.001997416,-0.4513856926259254
C3098,0,54,M,1036410.61,SENP,>50,236,15,CA,11/27/2011,66,42,17,59,6,2,0,1,8,0,10700,586260,625310,0.0,125805,1348075.0,0,0,0,0,1,5350.0,97710.0,78163.75,0.0,125805.0,1,1,0.002235501,-0.3360121832672237
C13607,1,51,M,1366564.05,PROF,>50,796,13,SA,03-05-2006,135,4,3,7,1,0,0,0,2,1,0,789120,80510,0.0,0,869630.0,0,0,0,0,0,0.0,789120.0,40255.0,0.0,0.0,1,1,0.002284925,1.704409373414534
C16838,1,35,M,157722.82,PROF,31-35,720,7,CA,01-07-2001,197,67,66,133,0,10,20,24,12,1,101300,0,4471280,345457.0,142402,5060439.0,1,70,0,0,0,10130.0,0.0,372606.67,17272.85,5933.42,0,0,0.002303781,2.012079998912977
C9319,0,40,M,277463.26,SAL,36-40,178,17,SA,8/17/2005,142,8,5,13,2,1,1,0,1,0,4200,938710,0,831551.0,0,1774461.0,0,0,0,0,0,4200.0,469355.0,0.0,831551.0,0.0,1,1,0.002310912,0.12040058002631952
C5691,0,30,F,588239.97,SAL,26-30,310,11,SA,04-01-2009,98,7,5,12,0,1,0,0,4,0,10800,0,31120,0.0,0,41920.0,0,0,0,0,0,10800.0,0.0,7780.0,0.0,0.0,1,1,0.0023609539999999997,-0.8253098440102221
C3181,0,34,M,22196.98,SELF-EMP,31-35,302,11,SA,06-03-2008,108,11,6,17,2,1,1,0,2,0,16900,992890,91830,671588.0,0,1773208.0,0,0,0,0,0,16900.0,496445.0,45915.0,671588.0,0.0,1,1,0.002497164,0.106613395719682
C13763,0,44,M,13047.59,SAL,41-45,436,9,CA,04-12-2012,62,52,21,73,8,2,6,1,4,0,48100,128100,562570,467113.0,66731,1272614.0,0,0,0,0,0,24050.0,16012.5,140642.5,77852.17,66731.0,0,1,0.002535767,-2.548873979112619
C9420,0,46,M,274321.0,PROF,46-50,610,20,SA,9/20/2005,140,10,5,15,1,1,1,0,2,1,17300,654110,87750,65956.0,0,825116.0,0,0,0,0,0,17300.0,654110.0,43875.0,65956.0,0.0,1,1,0.002749235,1.3051068286712026
C9753,0,55,M,346999.44,SAL,>50,796,29,CA,11/16/2010,79,6,1,7,0,1,0,0,0,0,3100,0,0,0.0,0,3100.0,0,0,0,0,0,3100.0,0.0,0.0,0.0,0.0,1,0,0.0027500040000000003,0.46601307775347406
C19621,0,43,M,244981.44,SAL,41-45,150,7,SA,11/23/2011,66,5,6,11,1,1,0,0,4,0,12200,424580,42190,0.0,0,478970.0,0,0,0,0,0,12200.0,424580.0,10547.5,0.0,0.0,1,1,0.0028017140000000003,0.7423529288458542
C7526,0,31,M,343646.67,PROF,31-35,341,25,CA,7/27/2010,82,43,1,44,1,0,0,0,0,1,0,934960,0,0.0,0,934960.0,0,0,0,0,0,0.0,934960.0,0.0,0.0,0.0,1,0,0.002827729,1.0944583102339696
C4837,0,33,F,432974.12,SENP,31-35,606,19,SA,8/20/2007,117,15,8,23,1,1,1,0,5,0,17300,603050,605170,586875.0,0,1812395.0,1,0,0,0,0,17300.0,603050.0,121034.0,586875.0,0.0,1,1,0.0028355109999999998,0.13416028095374938
C5622,0,49,M,149802.74,PROF,46-50,211,21,SA,3/16/2002,183,14,2,16,1,1,0,0,0,0,800,504650,0,0.0,0,505450.0,0,0,0,0,0,800.0,504650.0,0.0,0.0,0.0,1,1,0.0029434640000000002,0.7762396012527413
C6961,0,53,M,656560.01,SELF-EMP,>50,227,17,SA,9/14/2009,93,6,5,11,0,1,0,0,4,0,5300,0,31350,0.0,0,36650.0,0,0,0,0,0,5300.0,0.0,7837.5,0.0,0.0,1,0,0.0029453070000000003,0.5100118580041094
C15956,0,51,M,35472.44,PROF,>50,633,7,SA,10-01-2014,32,10,5,15,2,1,1,0,1,1,10600,691330,0,335723.0,0,1037653.0,0,0,0,0,0,10600.0,345665.0,0.0,335723.0,0.0,1,1,0.002966179,2.581349678718011
C1056,0,41,M,5359.8,SAL,41-45,325,31,SA,10/26/2003,163,7,1,8,0,0,1,0,0,0,0,0,0,597086.0,0,597086.0,0,0,0,0,0,0.0,0.0,0.0,597086.0,0.0,1,0,0.0029947909999999997,-0.2168423904511918
C18014,0,36,M,41500.57,SAL,36-40,350,2,SA,4/25/1999,217,18,14,32,4,2,3,1,4,0,5200,912270,16930,318681.0,56834,1309915.0,0,0,0,0,0,2600.0,228067.5,4232.5,106227.0,56834.0,1,1,0.003174877,1.3863818260733587
C8560,0,26,M,1156848.47,SAL,26-30,975,13,SA,5/13/2002,181,6,5,11,2,1,1,0,1,0,12000,594370,0,119221.0,0,725591.0,0,0,0,0,0,12000.0,297185.0,0.0,119221.0,0.0,1,0,0.0032065920000000003,0.012655487375103552
C7313,0,26,M,9614.33,SAL,26-30,211,24,SA,03-08-2006,135,4,3,7,2,0,1,0,0,0,0,31560,0,523511.0,0,555071.0,0,0,0,0,0,0.0,15780.0,0.0,523511.0,0.0,1,1,0.0033260290000000003,1.3473235642038555
C932,0,45,M,1316110.16,PROF,41-45,952,22,SA,7/21/2008,106,3,1,4,0,1,0,0,0,0,3300,0,0,0.0,0,3300.0,0,0,0,0,0,3300.0,0.0,0.0,0.0,0.0,1,0,0.003337379,-0.27842448119824276
C16165,0,21,F,1585087.83,SENP,<25,156,4,SA,3/16/2012,63,3,2,5,0,0,0,0,2,0,0,0,47970,0.0,0,47970.0,0,0,0,0,0,0.0,0.0,23985.0,0.0,0.0,1,1,0.003359452,-2.257564777148559
C19537,1,53,F,5677834.48,SENP,>50,196,4,SA,08-03-2013,46,2,5,7,2,1,1,0,1,0,17500,512340,0,389787.0,0,919627.0,0,0,0,0,0,17500.0,256170.0,0.0,389787.0,0.0,1,1,0.003372545,1.800069775805476
C17494,0,30,M,62991.56,PROF,26-30,939,1,SA,07-08-2002,179,6,5,11,1,1,1,0,2,0,7900,619300,52340,17768.0,0,697308.0,1,0,0,0,1,7900.0,619300.0,26170.0,17768.0,0.0,0,1,0.003580805,-0.5324991591725552
C4288,0,36,M,696353.59,SELF-EMP,36-40,888,14,SA,12-03-2002,174,14,7,21,3,1,1,0,2,0,17400,872920,16210,324604.0,0,1231134.0,0,0,0,1,0,17400.0,290973.33,8105.0,324604.0,0.0,1,0,0.003622673,-0.5005434583737637
C17740,0,37,M,57179.94,SAL,36-40,573,9,SA,2/26/2002,183,7,6,13,2,1,1,0,2,1,13400,853070,14400,346839.0,0,1227709.0,0,0,0,0,0,13400.0,426535.0,7200.0,346839.0,0.0,1,1,0.003736202,-0.032489452771939764
C18426,0,47,F,793332.01,PROF,46-50,184,9,SA,04-02-2008,110,12,6,18,1,1,0,0,4,0,3300,238320,15200,0.0,0,256820.0,0,0,0,0,0,3300.0,238320.0,3800.0,0.0,0.0,0,1,0.0037533909999999996,-0.7704399020751516
C10339,0,27,M,37633.41,SAL,26-30,738,26,SA,4/13/2002,182,4,1,5,1,0,0,0,0,0,0,736500,0,0.0,0,736500.0,0,0,0,0,0,0.0,736500.0,0.0,0.0,0.0,1,1,0.003886294,-0.4237220974048111
C9696,0,52,M,650244.39,SENP,>50,341,17,CA,12/16/1999,210,43,17,60,9,2,0,1,5,0,21300,724670,35240,0.0,9473,790683.0,0,0,0,0,0,10650.0,80518.89,7048.0,0.0,9473.0,1,1,0.0040201759999999994,-0.2761842699089254
C12984,1,46,M,483701.66,PROF,46-50,280,11,SA,08-06-2006,130,8,5,13,0,1,0,0,4,0,14200,0,11480,0.0,0,25680.0,0,0,0,0,0,14200.0,0.0,2870.0,0.0,0.0,1,1,0.004041002,-0.42661227318841355
C8306,0,30,M,439710.96,SELF-EMP,26-30,451,24,SA,07-09-2008,107,4,4,8,0,1,2,0,1,0,7900,0,13440,253050.0,0,274390.0,0,0,0,1,0,7900.0,0.0,13440.0,126525.0,0.0,1,0,0.004095057,-2.387696243095614
C17085,0,54,M,70876.64,SAL,>50,138,5,SA,5/14/2001,193,6,6,12,1,1,0,0,4,0,1500,638970,65580,0.0,0,706050.0,0,0,0,0,0,1500.0,638970.0,16395.0,0.0,0.0,0,1,0.004098648,0.6613824293397164
C10973,0,47,M,330397.16,SAL,46-50,560,16,SA,07-01-2009,95,15,8,23,2,1,1,0,4,1,3800,619910,27180,232952.0,0,883842.0,0,0,0,1,0,3800.0,309955.0,6795.0,232952.0,0.0,1,1,0.00410617,0.4174660881873098
C594,0,31,M,105693.29,SAL,31-35,562,18,SA,02-01-2013,52,8,6,14,3,1,1,0,1,0,800,816300,0,818397.0,0,1635497.0,0,0,0,1,0,800.0,272100.0,0.0,818397.0,0.0,1,1,0.004224287,0.8820041140747606
C19721,0,38,M,62815.32,SAL,36-40,365,2,SA,8/24/1999,213,8,5,13,1,1,1,0,2,0,5200,939940,55350,182050.0,0,1182540.0,0,0,0,0,0,5200.0,939940.0,27675.0,182050.0,0.0,1,0,0.004232622,-0.7067289662105065
C1790,0,45,M,1288216.38,SENP,41-45,801,23,SA,02-11-2014,40,14,1,15,1,0,0,0,0,1,0,223340,0,0.0,0,223340.0,0,0,0,0,0,0.0,223340.0,0.0,0.0,0.0,1,0,0.004243128,0.7833006949533651
C8210,0,42,M,1632079.0,SAL,41-45,105,27,SA,12/23/2002,173,20,1,21,0,1,0,0,0,0,6000,0,0,0.0,0,6000.0,0,0,0,0,0,6000.0,0.0,0.0,0.0,0.0,1,0,0.004284395999999999,1.1410984268651245
C8904,0,33,F,1050241.35,SENP,31-35,183,19,SA,10-05-2003,164,17,14,31,2,2,4,1,5,1,9900,327310,261550,438814.0,66069,1103643.0,0,0,0,1,0,4950.0,163655.0,52310.0,109703.5,66069.0,1,1,0.004337393,-0.04127732368945446
C15428,0,36,M,1419961.51,SELF-EMP,36-40,210,4,SA,02-03-2009,100,6,4,10,1,0,0,0,3,0,0,375970,16070,0.0,0,392040.0,0,0,0,0,0,0.0,375970.0,5356.67,0.0,0.0,1,0,0.004378251,1.2025981288180863
C218,0,38,F,3120315.7,SENP,36-40,194,22,SA,12-03-2004,150,4,4,8,2,1,1,0,0,0,3400,820,0,319836.0,0,324056.0,1,0,0,0,0,3400.0,410.0,0.0,319836.0,0.0,1,1,0.004457817,-0.40700940725749396
C8069,0,38,M,216124.48,SAL,36-40,429,18,SA,10/29/2008,103,12,6,18,2,1,1,0,2,0,100,433210,82400,26600.0,0,542310.0,0,0,0,0,0,100.0,216605.0,41200.0,26600.0,0.0,0,0,0.004506845,0.18720515177473648
C6785,0,30,F,1024526.91,PROF,26-30,186,28,CA,1/14/2003,173,23,3,26,3,0,0,0,0,0,0,841420,0,0.0,0,841420.0,0,0,0,0,0,0.0,280473.33,0.0,0.0,0.0,0,1,0.00456266,-1.1037402903826818
C1912,0,34,M,101598.65,SAL,31-35,168,11,SA,11/15/2007,115,20,14,34,0,2,4,1,7,0,2200,0,346850,170678.0,58377,578105.0,0,0,0,0,0,1100.0,0.0,49550.0,42669.5,58377.0,0,1,0.004623246,-1.4627159025412888
C4753,0,30,F,140228.35,SENP,26-30,361,29,SA,09-11-2005,141,2,2,4,1,1,0,0,0,0,1900,362530,0,0.0,0,364430.0,0,0,0,0,0,1900.0,362530.0,0.0,0.0,0.0,0,1,0.004681274,0.957103652943365
C13683,1,43,M,44297.92,SENP,41-45,114,3,SA,04-12-2002,182,6,6,12,1,1,0,0,4,1,15700,292290,66289,0.0,0,374279.0,1,0,0,1,0,15700.0,292290.0,16572.25,0.0,0.0,1,1,0.004830587,-2.3219320877826686
C19204,0,25,M,1610175.31,PROF,<25,814,9,SA,02-01-2010,88,7,7,14,2,1,0,0,4,1,14800,226870,19590,0.0,0,261260.0,0,0,0,0,0,14800.0,113435.0,4897.5,0.0,0.0,0,1,0.004943633,0.3664659746398628
C1147,0,34,M,935489.18,SAL,31-35,325,19,SA,6/24/2007,119,12,6,18,1,1,0,0,4,0,10600,837100,14590,0.0,0,862290.0,0,0,0,0,0,10600.0,837100.0,3647.5,0.0,0.0,1,0,0.00501124,-0.11673579766277914
C16390,0,51,M,19701.96,SAL,>50,179,2,SA,7/30/2005,142,16,15,31,8,2,4,1,0,0,1000,357800,0,565132.0,84710,1008642.0,0,0,0,0,0,500.0,44725.0,0.0,141283.0,84710.0,1,0,0.005143526,-0.6321122117691527
C18998,0,43,F,3675.21,PROF,41-45,215,7,SA,5/18/2006,132,7,6,13,2,1,1,0,2,0,2600,730110,91860,432818.0,0,1257388.0,0,0,0,0,0,2600.0,365055.0,45930.0,432818.0,0.0,1,0,0.005223869,-0.6054713246638819
C8405,0,39,M,9896.37,PROF,36-40,275,13,SA,12/25/2000,197,12,6,18,1,1,0,0,4,1,16000,716400,15920,0.0,0,748320.0,1,0,0,0,1,16000.0,716400.0,3980.0,0.0,0.0,1,0,0.005494635,-1.1628951214646355
C10204,0,28,M,68850.71,PROF,26-30,892,21,CA,7/16/2000,203,53,1,54,0,1,0,0,0,0,7600,0,0,0.0,0,7600.0,0,0,0,0,0,7600.0,0.0,0.0,0.0,0.0,1,1,0.005522582,1.8286626892099855
C12494,1,33,F,135892.63,SELF-EMP,31-35,833,19,CA,9/18/2011,68,12,14,26,1,2,4,1,6,1,29900,739670,430370,265191.0,130037,1595168.0,1,0,0,0,0,14950.0,739670.0,71728.33,66297.75,130037.0,1,0,0.005580059,0.11269764694716622
C13940,0,33,F,537597.88,PROF,31-35,536,3,SA,10/21/2009,91,8,6,14,0,1,1,0,4,0,9100,0,39890,441073.0,0,490063.0,0,0,0,0,0,9100.0,0.0,9972.5,441073.0,0.0,1,0,0.005660123,1.5355159797594766
C18759,0,38,M,1453391.57,SELF-EMP,36-40,360,6,SA,7/28/2013,46,16,15,31,7,2,4,1,1,0,37300,374290,10180,18280.0,154252,594302.0,1,0,0,0,1,18650.0,53470.0,10180.0,4570.0,154252.0,1,0,0.005733884,-0.4829895982283097
C7732,0,46,M,509072.22,SAL,46-50,309,17,SA,05-01-1999,217,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.005923431999999999,-0.6614759391333479
C13501,1,51,M,331342.55,PROF,>50,390,21,SA,7/20/2004,154,2,1,3,1,0,0,0,0,0,0,453300,0,0.0,0,453300.0,0,0,0,0,0,0.0,453300.0,0.0,0.0,0.0,0,1,0.006013496,0.2003381513223524
C8350,0,30,M,108329.5,PROF,26-30,183,26,SA,07-01-2002,179,5,2,7,1,1,0,0,0,0,2000,623220,0,0.0,0,625220.0,0,0,0,0,0,2000.0,623220.0,0.0,0.0,0.0,1,0,0.006102833,1.4230657810472724
C17159,0,31,F,2220539.23,SENP,31-35,248,5,SA,12-11-2012,54,6,5,11,1,1,1,0,2,0,19800,866300,47120,424532.0,0,1357752.0,0,0,0,0,0,19800.0,866300.0,23560.0,424532.0,0.0,1,1,0.0061611980000000005,-0.023104706258170824
C8793,0,28,M,39460.86,SAL,26-30,373,23,SA,12-02-1999,210,5,4,9,4,0,0,0,0,0,0,139690,0,0.0,0,139690.0,0,0,0,0,0,0.0,34922.5,0.0,0.0,0.0,1,1,0.006170198000000001,-0.04218699640068978
C2227,0,43,O,71464.0,PROF,41-45,317,24,CA,2/23/2011,75,11,3,14,0,1,1,1,0,0,5300,0,0,839035.0,195824,1040159.0,0,0,0,0,0,5300.0,0.0,0.0,839035.0,195824.0,0,0,0.0062246969999999995,-0.03332490248695207
C7842,0,32,F,34186.57,SAL,31-35,118,19,CA,03-10-2003,171,72,2,74,0,2,0,0,0,0,10900,0,0,0.0,0,10900.0,1,0,0,0,0,5450.0,0.0,0.0,0.0,0.0,1,0,0.0062993219999999996,-1.4757213312195816
C19321,1,37,M,5105.86,PROF,36-40,583,3,CA,1/27/2008,112,44,18,62,8,2,0,1,7,0,43000,955890,204760,0.0,174474,1378124.0,0,0,0,0,0,21500.0,119486.25,29251.43,0.0,174474.0,1,0,0.006350654,0.9514704047170753
C11743,0,41,O,333614.56,SAL,41-45,168,25,CA,01-06-2008,113,39,3,42,3,0,0,0,0,0,0,78540,0,0.0,0,78540.0,0,0,0,0,0,0.0,26180.0,0.0,0.0,0.0,1,0,0.006351575,-0.06851317055463288
C19981,0,41,F,471464.76,SENP,41-45,290,1,SA,8/18/2007,117,12,6,18,3,1,1,0,1,0,2400,857280,0,494397.0,0,1354077.0,0,0,0,0,0,2400.0,285760.0,0.0,494397.0,0.0,1,0,0.0064216080000000005,-0.4679051401624035
C13671,0,39,F,126187.08,SENP,36-40,202,9,SA,1/29/2003,172,14,7,21,0,1,1,0,5,0,13100,0,433650,435584.0,0,882334.0,0,0,0,0,0,13100.0,0.0,86730.0,435584.0,0.0,1,1,0.006689395999999999,0.6110067865443737
C17748,0,41,M,119614.79,SAL,41-45,763,1,SA,05-02-2000,205,8,5,13,1,1,1,0,2,0,2900,701600,90820,132016.0,0,927336.0,0,0,0,0,0,2900.0,701600.0,45410.0,132016.0,0.0,1,0,0.006715394,1.3103565521117364
C15772,0,54,F,2261024.19,PROF,>50,107,7,SA,2/23/2006,135,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.006736574,0.6716112273952068
